input:,標籤,output:
如何取得學號？,新生,在[學號查詢系統](https://alcat.pu.edu.tw/stdnoquery/index.php)輸入身分證字號，即可取得學號。
校園帳號是什麼？,新生,可使用此帳號登入學校的各項資訊服務，包括靜宜電子郵件、e 校園服務網、軟體雲、玩課雲(Wow Class)、教學輔助活動管理系統及無線網路等。
如何啟用校園帳號？,新生,"可在取得學號後，於靜宜大學資訊處的[新生專區](https://oits.pu.edu.tw/p/426-1002-3.php?Lang=zh-tw) ，點選「帳號啟用」，依頁面指示輸入個人基本資料及設定密碼，即可完成帳號啟用。
"
忘記校園帳號密碼改怎麼辦？,E校園服務網,可於[忘記密碼申請](https://webmail.pu.edu.tw/passwordForgotForm.do)，依頁面指示輸入個人基本資料及驗證身分，即可重設密碼。
在學期間更改姓名如何辦理？,綜合業務組,"辦理更名時，請攜帶填寫好的申請單（可在綜合業務組下載【在校生更改姓名身分證字號申請單】）、更正後的戶籍謄本正本一份（若變更身分證字號則免附），以及身分證以便核對（現場歸還）。更名後，學生證需自費辦理換發。
"
學生基本資料確認步驟？,E校園服務網,"至 e 校園服務網登入校園帳號密碼，點選「各類系統功能 -> 教務 -> 學生基本資料確認」，完成下方各項目的填寫及上傳。

* 基本資料：姓名、身分證字號、出生日期、性別、戶籍地址、通訊地址、聯絡電話、電子郵件信箱等，郵局帳號請填寫學生本人之帳戶資料。 
* 緊急聯絡人資料：姓名、身分證字號、聯絡電話、與學生關係等。
* 校園生活資料：學務相關資料
* 個人資料使用同意書：個人資料使用同意書、健康檢查作業委託「承檢醫院」個資使用同意書、協助學生就醫相關事宜告知書等。 
* 大頭照上傳：請以「身分證用大頭照」之規格上傳。
* 文件上傳：學歷證件(高中畢業證書、高中肄業證明書(未畢業者)，請以掃描或手機拍照方式存成 JPG 檔後上傳。)、身分證正反面、個人資料使用同意書。
"
通訊地址欄位有什麼需要注意的？,綜合業務組,"通訊地址欄位為學生學習權益通知的寄送地，一經確認即無法於線上更改。如需變更，請至綜合業務組網頁「表單下載」，列印【0501-在校生更改地址申請單】送交綜合業務組提出申請。
"
學生證相片電子檔有什麼規格要求？,E校園服務網,"學生證相片電子檔請以「身分證用大頭照」之規格上傳，即照相館所附光碟之 JPG 檔上傳，勿做任何縮放或修圖，切勿使用生活照。經檢核不符合規格者，將以簡訊通知修訂，敬請配合作業，以免耽誤學生證製作期限。
"
學生證用途有哪些？,新生,"學生證為一卡通學生證，於四大超商儲值後，可於「文興樓一樓」、「至善樓東門」全功能成績列印自動化繳費機及「主顧樓」教務文件自助列印 POS 系統設備，列印在學證明、成績單等文件，並可以進行其他體育設施等小額款項繳費。
"
本國籍大學部學生學雜費繳費單上列的金額是否已經扣除「行政院減免學雜費」？,新生,"是的，已經扣除「行政院減免學雜費」1.75 萬元整。
"
如果要申請「全額學雜費繳費單」，應該怎麼辦？,新生,"依本校學務處生活輔導組公告程序辦理後，方得變更繳費單。
"
可以在哪裡取得學雜費繳費單？,新生,"您可以透過以下方式取得學雜費繳費單：
* 第一銀行網站 -> 第 e 學雜費入口網 -> 選擇靜宜大學 -> 輸入學號。
* 利用手機或平板電腦繳費 -> 請安裝[靜宜大學]APP -> 點選 [MyPU] -> 登入後點選[教職員/學生專區 -> 學雜費繳費單]。 
* 靜宜大學首頁 -> 學雜費專區 -> 學雜費查詢及繳費單列印。
"
新生什麼時候會收到學雜費繳費單？,新生,"由第一銀行寄出繳費單，「運動績優、身心障礙、四技二專、分發入學、原住民專班、社工系二年制在職專班」入學新生如申請並錄取校內住宿者，請至本校首頁學雜費專區下載繳費單辦理繳費。如申請學校宿舍備取經錄取後，請至本校首頁學雜費專區重新下載繳費單辦理繳費。提醒您，為響應環保減少紙張印製，113 學年度第 2 學期不再郵寄紙本繳費單。
"
學雜費繳款方式有哪些？,新生,臨櫃繳交、金融卡轉帳、信用卡繳費、超商繳費。
學雜費臨櫃繳款如何操作？,新生,請持繳費單至第一銀行分行臨櫃繳費，無手續費，隔天入帳。
學雜費金融卡轉帳如何操作？,新生,"1. 選擇【繳費】，勿選轉帳。 
2. 輸入第一銀行代號【007】 
3. 輸入【存戶編號(轉入帳號)】 
4. 輸入【繳款金額】 

* 學雜費、課外活動費繳款單【存戶編號(轉入帳號)】代號不同，不可合併匯款 
* 非跨行無手續費，跨行手續費 16 元，隔天入帳。"
學雜費信用卡繳費如何操作？,新生,"1. 第一銀行第 e 學雜費入口網：輸入【學號】及 6 碼【驗證碼】(驗證碼：生日西元年末 2 碼+月 2 碼+日 2 碼) 
2. 中國信託銀行 i 繳費平台：點選【學費/信用卡繳學費】，輸入學校代號【8814600440】並輸入繳費單上之【存戶編號（轉入帳號）】 依各發卡銀行規定，3 個工作日入帳。"
學雜費超商繳費如何操作？,新生,請持繳費單或下載靜宜大學 APP 持手機條碼，至統一、全家、萊爾富、OK 超商門市繳款 2 萬以下：10 元 逾 2 萬至 4 萬：15 元 逾 4 萬至 6 萬：18 元 逾 6 萬：不代收 7 個工作日入帳。
如何查詢繳費狀況？,新生,"靜宜大學首頁 -> 學雜費專區 -> 學雜費繳費證明列印。
"
學雜費之退費標準為何？,新生,"依教育部專科以上學校學雜費退費基準表規定辦理。

* 113 年 09 月 08 日前辦竣休、退學者，免交學雜費
* 113 年 10 月 21 日前辦竣休、退學者，退還學雜各費三分之二。
* 113 年 12 月 02 日前辦竣休、退學者，退還學雜各費三分之一。
* 113 年 12 月 03 日起辦理休退學者，不予退費。
"
申請保留學籍，請問有哪些申請資格？,新生,"1. 因重病需長期療養，持有區域醫院或醫學中心開具之診斷證明書。 
2. 陸生、僑生或外國學生因故不能按時來校報到者。 
3. 因應徵召服兵役者，應檢具服役證明文件，申請延長保留學籍至服義務役期滿。 
4. 因懷孕、生產或撫育三歲以下子女，得於註冊開始前，持證明文件向學校申請保留入學資格。 
5. 參加「青年教育與就業儲蓄帳戶方案」之高級中等學校畢業生考取本校後入學者。
"
申請保留學籍，請問申請時間和申辦資料是什麼？,新生,"親自至綜合業務組辦理，逾期不予受理。 申辦資料： 

1. 保留學籍申請暨程序單(現場填寫)。 
2. 畢業證書或同等學力證明書及身分證影本 1 份。 
3. 區域醫院或醫學中心開具之診斷證明書正本(請註明需六週以上長期療養)。 
4. 一個掛號回郵信封(貼足 28 元郵資)。
"
我要申請休學，請問有哪些注意事項？,新生,"在開學前完成辦理的學生，將免繳學雜費。開學後則依規定收費。至於學生團體保險（學生平安保險），為了保障學生權益，建議即使在休學期間仍繼續繳交保險費，否則可能放棄保險理賠的權益。休學學生若希望參加學生團體保險，需在每學期開學後3週內至本校出納組繳交保險費，逾期將不予受理。
"
大一英文分級測驗是什麼？,新生,大一英文分級測驗是靜宜大學針對大一新生施行的線上測驗，用以評估學生的英語能力，並將學生分為不同程度的班級上課。
大一英文分級測驗的測驗方式是什麼？,新生,大一英文分級測驗為線上測驗，共分聽力和閱讀兩部分，各佔 50%。
我沒有參加大一英文分級測驗怎麼辦？,新生,沒有參加大一英文分級測驗的學生，將無法分班上課，需於開學後向外語教學中心申請補考。
大一英文課程如何修課？,新生,大一英文課程為每週兩小時的大一英文課程及自主學習，課程地點、時段請上 e 校園服務網查詢課表。
大一英文課程如何分班？,新生,大一英文課程依「大一英文分級測驗」結果分級分班上課，不得提出降級修習要求。
大一英文課程的成績如何計算？,新生,"大一英文課程的學期總成績配分方式如下：出席、小考、作業等占30%，期中報告30%，期末考30%，課外學習活動參與10%。
"
大一英文課程有哪些課外學習活動？,新生,"大一英文各組別學生每學期必須參加以下課外學習活動：TA課業輔導三次（3分），英語角三次（3分），國際文化村一次（2分），國際化教育系列講座一次（2分），以及參加語言學習競賽，具體依當學期公告為主，每班至少推派2-4人（組）。
"
我是體優生，可以修習一般大一英文課程嗎？,新生,體優生若欲修習一般大一英文課程，仍須參加英文分級測驗始取得修課資格。
靜宜大學有哪些英語能力檢定獎勵辦法？,新生,靜宜大學為鼓勵學生參加英語能力檢定，訂有「外語能力檢定獎勵與補助辦法」，請至本校「外語教學中心」網頁查看及下載。
靜宜大學的英文畢業門檻是什麼？,新生,靜宜大學校訂英文能力畢業條件為多益測驗 550 分或全民英檢中級初試通過。
我要如何查詢英文畢業門檻配套措施的相關資訊？,新生,"請至靜宜大學外語教學中心網頁查看及下載「靜宜大學校訂英文能力畢業條件配套措施實施要點」。
"
入學前修習了「全國大學先修課程平台、ewant:SOS、全國夏季學院…」等課程，可以申請學分抵免嗎？,新生,可以。大一新生在入學前修習的「全國大學先修課程平台、ewant:SOS、全國夏季學院…」等課程，如果符合規定，可以申請學分抵免。
學分抵免申請資格？,新生,"可以提出抵免科目申請的學生包括：大一新生如果在入學前修習過「全國大學先修課程平台」、ewant、全國夏季學院等課程；重考入學者；以及五專生（專四、專五修習並及格的課程）。
"
申請學分抵免需要準備哪些資料？,新生,"原就讀學校之成績單正本二份（一份繳交至各學系辦公室，一份送綜合業務組）。
"
如何申請學分抵免？,新生,"要申請抵免科目，首先在 e 校園服務網登入你的校園帳號和密碼。接著，在網頁右上方的搜尋框內輸入「抵免」，並按下搜尋按鈕。最後，點選「抵免科目申請」進入申請頁面。
"
申請學分抵免後，如果通過審核，是否可以重複修習該課程？,新生,"不可以。申請學分抵免後，如果通過審核，請勿重複修習該抵免課程。如果個人課表已有該課程，請自行退選。
"
申請學分抵免的相關辦法及細則可以到哪裡查詢？,新生,"綜合業務組網頁 -> 抵免 -> 學系學分抵免細則
"
非英文系新生如何申請免修英文課程？,新生,"非英文系新生可於即日起至開學日 17:00 前，向外語教學中心申請免修英文課程。申請時需備妥免修英文申請書及相關證明文件。詳細說明請參閱「靜宜大學非英文系學生免修校訂大一『英文』課程作業要點」。
"
英文系新生如何申請免修語文課程？,新生,"英文系新生可於開學前一週於系辦申請免修語文課程。申請時需備妥免修英文申請書及相關證明文件。詳細說明請參閱「靜宜大學英國語文學系甄試免修語文課程作業要點」。
"
寰宇外語學士學位學程新生如何申請免修語文課程？,新生,"寰宇外語學士學位學程新生可參閱「靜宜大學寰宇外語教育學士學位學程非師培生甄試免修語文課程作業要點」，申請免修非師培生免修語文課程。
"
西文系新生如何申請免修語文課程？,新生,"西文系新生可參閱「靜宜大學西班牙語文學系甄試免修語文課程作業要點」，申請免修語文課程。
"
日文系新生如何申請免修語文課程？,新生,"日文系新生可參閱「靜宜大學日本語文學系甄試免修語文課程作業要點」，申請免修語文課程。
"
非資訊學院新生如何申請免修「資訊應用概論」、「程式設計概論」課程？,新生,"非資訊學院新生可於開學日 17:00 前向資訊學院辦公室 (主顧 602) 申請免修「資訊應用概論」、「程式設計概論」課程。如需考試，時間另行通知。
"
閱讀與書寫課程的修課條件為何？,新生,"閱讀與書寫課程為大一新生必修課程。
"
閱讀與書寫課程的教材為何？,新生,"閱讀與書寫課程的教材為《與世界的孤獨同在》與《在世界的每一天》。
"
跨域與設計向度課程的修課條件為何？,新生,"跨域與設計向度課程為大一新生通識課程。
"
跨域與設計向度課程有哪些？,新生,"跨域與設計向度課程包括大學學習有方法、聆聽與溝通、時間管理、大學學習 PaPaGo 等課程。
"
閱讀與書寫課程有哪些自主學習深化活動？,新生,"閱讀與書寫課程的自主學習深化活動包括生命史講座、閱讀理解工坊、未來領袖敘事力學生團隊培力、靜宜大學文學獎等。
"
什麼是設計思考與實踐課程？,新生,設計思考與實踐課程是一門以議題為導向的通識必修課程，旨在培養學生的批判性思考、問題解決能力、多元思維、創新與創意能力。課程將結合設計思考的步驟與方法，引導學生在實作中進行學習與反思，鼓勵學生將個人經驗連結現實議題，探索現實問題與需求。
設計思考與實踐(跨域與設計)課程的課程安排如何？,新生,課程為 1 學分、1 學期課程，屬通識必修。課程將依原班級分班，選課系統中已協助將當學期需上課之班級預選完畢。
哪些學生可以免修設計思考與實踐(跨域與設計)課程？,新生,原服務學習課程及 109 學年度設計思考與實踐課程未通過者、提高編級生不須修習。
如何抵免設計思考與實踐(跨域與設計)課程？,新生,欲進行抵免者，須符合「靜宜大學學生抵免學分辦法」第六條第一項規範，並請務必依「綜合業務組網頁 -> 熱門連結 -> 抵免 -> 作業時程，於規定時間上網申請並繳交成績證明正本，辦理抵免」，逾期不再受理。
哪裡可以查詢課程資訊？,新生,本校首頁「e 校園服務網」 -> 公眾項目 -> 點選「選課手冊暨課程綱要查詢」
哪裡可以查詢選課時間表？,新生,本校首頁「e 校園服務網」 -> 公眾項目 -> 點選「選課手冊暨課程綱要查詢」 -> 右上角「選課時間表」
哪裡可以查詢個人課表？,新生,前往 e 校園服務網 -> 輸入校園資訊服務帳號、密碼 -> 點選「各類系統功能」 -> 點選「教務」 -> 點選「選課查詢」
什麼時候可以退選課程？,新生,"依 113 學年度第 1 學期選課時間表內的網路退選開放時間辦理
"
哪裡可以辦理退選課程？,新生,"前往e 校園服務網 -> 「網路退選」
"
新生什麼時候可以加退選課程？,新生,"依選課時間表內的加退選階段，自行上網辦理。
"
哪裡可以查詢新生選課輔導說明？,新生,"* [新生選課輔導說明](https://dorac.pu.edu.tw/p/412-1059-2413.php?Lang=zh-tw)
"
哪裡可以查詢學生選課辦法？,新生,* [學生選課辦法](https://dorac.pu.edu.tw/var/file/59/1059/img/441/0204.pdf)
哪裡可以查詢各學系應修科目及學分數？,新生,"本校 e 校園服務網 -> 公眾項目 -> 「課程架構圖」
"
新生可於何時申請輔系、雙主修、學分學程之修習資格？,新生,新生可於入學學年度申請輔系、雙主修、學分學程之修習資格。
113 學年度輔系、雙主修、學分學程的申請日期為何？,新生,113 學年度輔系、雙主修、學分學程的申請日期為 113/9/2 至 113/9/6。
如何申請輔系、雙主修、學分學程？,新生,"前往「e 校園服務網」 ，點選「各類系統功能」 「教務」 「輔系、雙主修申請」或「學程申請」。
"
申請輔系、雙主修、學分學程是否有任何限制？,新生,申請修習資格無限制，於申請系統完成操作，即為申請成功。
申請輔系、雙主修、學分學程成功後，若因操作造成申請資料錯漏，該如何處理？,新生,若因操作造成申請資料錯漏，務請至綜合業務組申明更正。
申請輔系、雙主修、學分學程成功後，何時需開始修習輔系、雙主修、學分學程之課程？,新生,申請成功者請於加退選期間自行加選申請之輔系、雙主修或學分學程相關課程。
若申請輔系、雙主修，但於 113 學年第 1 學期未修得任何相關課程，會如何？,新生,申請輔系、雙主修者，須於 113 學年第 1 學期修得輔系、雙主修之課程至少一科，否則將取消輔系、雙主修修習資格。
學士班學生修習碩士班課程甄選作業要點在哪裡可以找到？,新生,"靜宜大學學士班學生修習碩士班課程甄選作業要點可以至本校「綜合業務組」→點選「章則辦法」→點選「學籍成績相關法規」，查看或下載。
"
各項教務文件申請方式有哪些？,新生,"申請教務文件可通過以下方式辦理：
* 線上申請（隔半個工作天到校取件）：進入學校首頁「e 校園服務網」，登入後選擇「各類系統功能」->「教務」->「申請教務文件」。
* 「全功能成績列印自動化繳費機」（現場取件）：操作機器取件，地點為文興樓一樓大門及至善樓東門。
* 「教務文件列印 POS 系統」：操作機器取件，地點為主顧樓一樓。
"
成績及學分試算系統查詢方式？,新生,靜宜大學在校學生若需查詢各學期之學期成績，請在期末教師登錄成績截止日後，至本校首頁點選「e 校園服務網」登入個人帳號後，點選「各類系統功能」 -> 點選「教務」 -> 點選「成績查詢」。 
學分試算表的使用方式？,新生,"1. 進 e 校園服務網→輸入帳號、密碼→點選「各類系統功能」→點選「教務」→「學分試算表」，瀏覽個人至目前為止之修課情形。
2. 科目名稱前打「√」者表示已修習及格，打藍色實體「修」者表示正在修習中，打「X」者表示尚未修習，打橘色空心「免」表示免修但不計學分。"
請問新生啟航週是什麼？,新生,新生啟航週是靜宜大學為大一新生舉辦的系列活動，旨在幫助新生熟悉校園環境、認識學校資源、融入大學生活。活動內容包括新生家長日、啟航典禮、系務介紹、導師時間、定向輔導、職涯探索、社團博覽會、領航生命教育、系學會迎新、健康檢查等。請務必全程參與。
新生啟航週的活動流程是？,新生,各班新生啟航週流程，請依照「113 學年度新生啟航各班活動時程表」之時間、地點前往集合。每班皆有榮譽學長姐帶領，請大一新生依當日第一個活動安排提前抵達。
新生啟航週有什麼注意事項？,新生,1. 前三天活動內容需移動不同場域，請同學穿著輕便服裝及舒適鞋款（不宜著拖鞋），並自備水瓶（校園各大樓皆設有飲水機）、環保餐具（本校推動環保校園，校內並未提供免洗筷、湯匙、塑膠吸管）。 2. 其他說明：新生啟航週活動緊鑼密鼓籌備中，將以最高規格、有趣的活動歡迎學弟妹的到來，活動內容不定時更新，請新生開學前務必上網查閱活動詳情。
新生在行車方面需要注意什麼？,新生,本校有多家客運行駛入校歡迎踴躍搭乘，減少騎乘汽機車。
新生在生活方面需要注意什麼？,新生,"1. 飲食方面：校內設有三家餐廳、便利商店、咖啡廳、食物販賣機等。 
2. 生活方面：郵局、提款機、敦煌書局、生活用品店等設施，可提供新生校園內生活所需。

本校餐廳禁用免洗餐具以及不提供一次性塑膠吸管，請同學自備環保餐具，共同維護校園環境。"
新生宿舍繳費期限為何？,新生,繳費期限內連同學雜費一倂繳交，繳費後除休、退學外概不退費。
新生宿舍如何分配？,新生,新生按同系同班分配為原則。分配床位後，若不住宿者，請將「放棄床位聲明書」傳真至住宿服務組，否則視為同意住宿，需繳交住宿費。
新生宿舍寢室設備為何？,新生,學生宿舍每間寢室備有床、衣(物)櫥、桌燈及書桌(架)椅、電話、網路點、冷氣(思高使用 IC 卡；善牧使用一卡通儲值付費)。個人寢具樣式及顏色不限，請自備。
宿舍床鋪規格為何？,新生,"* 希嘉學苑除特殊床位外，一般床鋪規格約長 210 公分*寬 100 公分。
* 思高學苑床鋪規格約長 205 公分*寬 95 公分。
* 善牧學苑床鋪規格約長 200 公分*寬 100 公分。
"
新生宿舍報到要準備什麼？,新生,辦理新生宿舍報到時，請攜帶以下文件：身分證件、兩張二吋照片及已填寫完成的住宿切結書，請依各系分配時間進入宿舍。
我無法於分配時間內進住宿舍，怎麼辦？,新生,若無法於分配時間內進住宿舍，可於開學後一週內（113/09/09~113/09/15）自行至宿舍服務台辦理進住手續。
宿舍床位可以轉讓嗎？,新生,不行。宿舍床位不得自行轉讓，違者依校規處分。
男生宿舍收費標準？,新生,"男生宿舍收費標準如下：思高學苑三人房10,500元（18週）、思高學苑兩人房（特殊寢室）13,500元（18週）、希嘉學苑四人房10,500元（18週）、希嘉學苑一樓三人房10,000元（18週）、善牧學苑四人房15,500元（18週）。所有宿舍均為冷氣寢室，冷氣電費另計，思高學苑使用冷氣IC卡儲值付費，善牧學苑使用一卡通儲值付費。保證金另計，退宿時若鑰匙如實歸還且公物無缺損，則全額退費。"
女生宿舍收費標準？,新生,"女生宿舍收費標準如下：希嘉學苑四人房10,500元（18週）、希嘉學苑一樓三人房10,000元（18週）、希嘉學苑一樓三人房14,500元（18週）、善牧學苑四人房15,500元（18週）。所有宿舍均為冷氣寢室，冷氣電費另計，希嘉學苑使用冷氣IC卡儲值付費，善牧學苑使用一卡通儲值付費。保證金另計，退宿時若鑰匙如實歸還且公物無缺損，則全額退費。"
健康檢查的時間和地點？,新生,新生入學健康檢查的時間可參考『靜宜大學新鮮人指南 -> 重要日程表及新生活動 -> 新生啟航週 -> 新生啟航週系列活動』中各系所健康檢查的排定時段，地點則在至善樓 B1 動靜教室。
健康檢查的費用是多少？,新生,新生入學健康檢查的費用以學雜費代收款項為準。
健康檢查的項目有哪些？,新生,健康檢查項目包括一般檢查（身高、體重、體脂肪、腰圍、血壓、脈搏、聽力、視力、辨色力及口腔檢查）、理學檢查（頭頸部、胸部、腹部、皮膚及脊柱四肢）、血液常規檢查、尿液檢查、肝功能檢查、腎功能檢查、血脂肪檢查、血糖檢查，以及胸部X光檢查。
健康檢查有哪些注意事項？,新生,新生入學健康檢查的注意事項包括：務必於排定時間內前來檢查並在校園服務網上完成個資使用同意書的簽署，檢查前三天保持正常作息、檢查當天不需禁食且告知進食狀況，穿著輕便服裝並配戴眼鏡以利檢查；未完成健康檢查者需自負相關責任，並於開學後1個月內補檢，報告需提交至諮商暨健康中心，有疑問可致電諮詢。
健檢報告什麼時候會發放？,新生,健檢報告將於健檢後五週，由諮商暨健康中心安排時間發放，並進行團體衛教說明與注意事項。
如果在校內已完成團體健檢，開學前辦理休學者該如何領取健檢報告？,新生,在校內已完成團體健檢，開學前辦理休學者請自行於開學 1 個月內至健康中心(至善樓 B1)領取個人健檢報告，如未前來領取報告，六個月後統一由校方銷毀處理。
411 遊留學計畫是什麼？,新生,靜宜大學的 411 遊留學計畫是希望每位學生在畢業前都能出國遊學一次、留學一次。遊學指的是寒暑假短期課程，留學指的是至少一學期當交換學生。
為什麼要推動 411 遊留學計畫？,新生,透過出國遊留學，學生可以增進語文能力、體驗不同文化、拓展國際視野，提升全球競爭力。
411 遊留學計畫有哪些內容,新生,411遊留學計畫包括交換學生計畫，讓學生到靜宜的姐妹校交換修課與體驗當地生活；遊學團，透過國際處每年寒暑假與姐妹校合作讓學生短期體驗國外生活；以及雙聯學制，學生可到國外姐妹校修課並取得雙學位。
申請交換學生有哪些條件？,新生,申請交換學生需具備學業成績歷年平均 GPA 2.75 以上、出具申請學校授課語言的相關語言能力證明，並具有勇於面對新環境的決心和彈性，以適應國外留學生活。
申請交換學生要準備哪些資料？,新生,申請交換學生需準備以下資料：申請表、成績單、語言能力證明、推薦信、個人陳述
遊學團有哪些特色？,新生,遊學團有以下特色：短期體驗國外生活、不需要語言門檻、可依照語言能力適性分班課程、期間安排當地觀光及文化活動、部分地區有獎學金補助、返校抵學分
雙聯學制有哪些優勢？,新生,雙聯學制有以下優勢：獲得國外姐妹校的畢業證書、畢業即擁有雙學位、增加競爭力
如何申請遊學團或雙聯學制？,新生,可至國際處 411 遊留學中心索取報名表，或於線上報名。
新生在學役男緩徵、儘後召集如何申請？,新生,請依照新生手冊內附表－113 學年度第 1 學期男生兵役狀況調查表，於註冊日前先行填妥並備齊相關文件。
尚未服役的學生，需要準備哪些文件？,新生,備妥身分證正、反面影本黏貼於表格內。
已服完兵役或現役的學生，需要準備哪些文件？,新生,請備妥身分證正、反面影本黏貼於表格內，並依身分別繳交常備役退伍令影本、替代役退役證明書、二階段軍事訓練結訓令、補充兵證書、已服畢國民兵佐證或現役軍人身分證明等資料。
免服役的學生，需要準備哪些文件？,新生,請備妥身分證正、反面影本黏貼於表格內，並依身分別繳交身心障礙證明或免役證明等資料。
兵役狀況調查表資料收繳日期是？,新生,由班級輔導幹部，依新生啟航週排定之各班級活動時程表，收繳資料。
填寫兵役狀況調查表時，有哪些注意事項？,新生,請確實依照填表說明填寫並預先準備正反面影印的相關證明文件，其中身分證須裁剪並黏貼於表格內，其他文件隨表裝訂即可。
若新生啟航週期間未繳交調查表或缺證明文件，會怎麼樣？,新生,"恐影響新生役男個人權益，為免延宕承辦單位作業時程，均請於開學後三日內自行繳交至軍訓室。
"
可以在哪裡查詢役男緩徵相關資訊？,新生,"可以參閱「[在學役男新生、轉學生、復學生緩徵及儘後召集申請作業](https://osamt.pu.edu.tw/p/405-1066-11130,c1944.php?Lang=zh-tw)」辦理。"
在學期間兵役狀況如有異動，該怎麼辦？,新生,請持役畢或免役證明至軍訓室辦理兵役異動。
高職生若想就讀靜宜可依循何種管道？,招生組,"高職生可透過以下管道就讀靜宜：
四技二專甄選入學：參加四技二專統一測驗，依成績申請。
大學申請入學：參加學科能力測驗，依成績申請。
繁星推薦：符合資格的應屆畢業生，參加學科能力測驗後申請。
大學分發入學：參加學科能力測驗與分科測驗後登記分發。"
,,
