input:,output:
如何取得學號？,在學生學號查詢系統(https://alcat.pu.edu.tw/stdnoquery/index.php)輸入身分證字號，即可取得學號。
校園帳號是什麼？,靜宜大學校園帳號是提供學生使用的一組帳號和密碼，可使用此帳號登入學校的各項資訊服務，包括靜宜電子郵件、e 校園服務網、軟體雲、玩課雲(Wow Class)、教學輔助活動管理系統及無線網路等。
如何啟用校園帳號？,"新生可在取得學號後，於靜宜大學資訊處首頁(https://oits.pu.edu.tw/p/426-1002-3.php?Lang=zh-tw) 的「新生專區」區塊，點選「帳號啟用」，依頁面指示輸入個人基本資料及設定密碼，即可完成帳號啟用。
"
忘記校園帳號密碼改怎麼辦？,若忘記靜宜大學校園帳號密碼，可於靜宜大學資訊處首頁(https://oits.pu.edu.tw/p/426-1002-3.php?Lang=zh-tw) 的「新生專區」區塊，點選「帳號密碼重設」，依頁面指示輸入個人基本資料及驗證身分，即可重設密碼。
"資料確認暨上傳時間是？
","特殊選才、繁星推薦、申請入學：113/6/24~113/7/7
運動績優、四技二專、身心障礙、分發入學、原住民專班、社工系二年制在職專班：113/8/20~113/8/29
"
如何更正我的姓名資料？,"需提供戶籍謄本正本 1 份及更名後身分證正反面影本 1 份。若逾期，則需按在校生更改姓名程序辦理。

承辦單位：教務處綜合業務組，分機 11111～11122。
"
該如何寄送更正姓名所需文件？,"將文件寄至 433 台中市沙鹿區台灣大道 7 段 200 號，綜合業務組收。信封上需註明系所名稱-新生更名，例如：法律系-新生陳○○更名。特殊選才、繁星推薦、申請入學，須於 113/7/15(一)前寄達；運動績優、四技二專、身心障礙、分發入學、原住民專班、社工系二年制在職專班，須於 113/8/28(三)前寄達。

承辦單位：教務處綜合業務組，分機 11111～11122。
"
學生基本資料確認步驟？,"至 e 校園服務網登入校園帳號密碼，點選「各類系統功能 -> 教務 -> 學生基本資料確認」，完成下方各項目的填寫及上傳。

* 基本資料：姓名、身分證字號、出生日期、性別、戶籍地址、通訊地址、聯絡電話、電子郵件信箱等，郵局帳號請填寫學生本人之帳戶資料。 
* 緊急聯絡人資料：姓名、身分證字號、聯絡電話、與學生關係等。
* 校園生活資料：學務相關資料
* 個人資料使用同意書：個人資料使用同意書、健康檢查作業委託「承檢醫院」個資使用同意書、協助學生就醫相關事宜告知書等。 
* 大頭照上傳：請以「身分證用大頭照」之規格上傳。
* 文件上傳：學歷證件(高中畢業證書、高中肄業證明書(未畢業者)，請以掃描或手機拍照方式存成 JPG 檔後上傳。)、身分證正反面、個人資料使用同意書。

承辦單位：教務處綜合業務組，分機 11111～11122。
"
通訊地址欄位有什麼需要注意的？,"通訊地址欄位為學生學習權益通知的寄送地，一經確認即無法於線上更改。如需變更，請至綜合業務組網頁「表單下載」，列印【0501-在校生更改地址申請單】送交綜合業務組提出申請。

承辦單位：教務處綜合業務組，分機 11111～11122。
"
學生證相片電子檔有什麼規格要求？,"學生證相片電子檔請以「身分證用大頭照」之規格上傳，即照相館所附光碟之 JPG 檔上傳，勿做任何縮放或修圖，切勿使用生活照。經檢核不符合規格者，將以簡訊通知修訂，敬請配合作業，以免耽誤學生證製作期限。
"
學生證用途有哪些？,"學生證為一卡通學生證，於四大超商儲值後，可於「文興樓一樓」、「至善樓東門」全功能成績列印自動化繳費機及「主顧樓」教務文件自助列印 POS 系統設備，列印在學證明、成績單等文件，並可以進行其他體育設施等小額款項繳費。
"
113學年度第2學期學雜費的繳費截止日是什麼時候？,113 年 09 月 08 日(日)
本國籍大學部學生學雜費繳費單上列的金額是否已經扣除「行政院減免學雜費」？,"是的，已經扣除「行政院減免學雜費」1.75 萬元整。

承辦單位：出納組，分機 11310、11313、11314。
"
如果要申請「全額學雜費繳費單」，應該怎麼辦？,"依本校學務處生活輔導組公告程序辦理後，方得變更繳費單。

承辦單位：出納組，分機 11310、11313、11314。
"
請問我可以在哪裡取得學雜費繳費單？,"您可以透過以下方式取得學雜費繳費單：
* 第一銀行網站 -> 第 e 學雜費入口網 -> 選擇靜宜大學 -> 輸入學號。
* 利用手機或平板電腦繳費 -> 請安裝[靜宜大學]APP -> 點選 [MyPU] -> 登入後點選[教職員/學生專區 -> 學雜費繳費單]。 
* 靜宜大學首頁 -> 學雜費專區 -> 學雜費查詢及繳費單列印。

承辦單位：出納組，分機 11310、11313、11314。
"
請問新生什麼時候會收到學雜費繳費單？,"113/08/18 起由第一銀行寄出繳費單，「運動績優、身心障礙、四技二專、分發入學、原住民專班、社工系二年制在職專班」入學新生如申請並錄取校內住宿者，請於 113/08/29 後至本校首頁學雜費專區下載繳費單辦理繳費。如申請學校宿舍備取經錄取後，請至本校首頁學雜費專區重新下載繳費單辦理繳費。提醒您，為響應環保減少紙張印製，113 學年度第 2 學期不再郵寄紙本繳費單。

承辦單位：出納組，分機 11310、11313、11314。
"
學雜費繳款方式有哪些？,臨櫃繳交、金融卡轉帳、信用卡繳費、超商繳費。
學雜費臨櫃繳款如何操作？,請持繳費單至第一銀行分行臨櫃繳費，無手續費，隔天入帳。
學雜費金融卡轉帳如何操作？,"1. 選擇【繳費】，勿選轉帳。 
2. 輸入第一銀行代號【007】 
3. 輸入【存戶編號(轉入帳號)】 
4. 輸入【繳款金額】 

* 學雜費、課外活動費繳款單【存戶編號(轉入帳號)】代號不同，不可合併匯款 
* 非跨行無手續費，跨行手續費 16 元，隔天入帳。"
學雜費信用卡繳費如何操作？,"1. 第一銀行第 e 學雜費入口網：輸入【學號】及 6 碼【驗證碼】(驗證碼：生日西元年末 2 碼+月 2 碼+日 2 碼) 
2. 中國信託銀行 i 繳費平台：點選【學費/信用卡繳學費】，輸入學校代號【8814600440】並輸入繳費單上之【存戶編號（轉入帳號）】 依各發卡銀行規定，3 個工作日入帳。"
學雜費超商繳費如何操作？,請持繳費單或下載靜宜大學 APP 持手機條碼，至統一、全家、萊爾富、OK 超商門市繳款 2 萬以下：10 元 逾 2 萬至 4 萬：15 元 逾 4 萬至 6 萬：18 元 逾 6 萬：不代收 7 個工作日入帳。
如何查詢繳費狀況？,"靜宜大學首頁 -> 學雜費專區 -> 學雜費繳費證明列印。

承辦單位：出納組，分機 11310、11313、11314。
"
學雜費之退費標準為何？,"依教育部專科以上學校學雜費退費基準表規定辦理。

* 113 年 09 月 08 日前辦竣休、退學者，免交學雜費
* 113 年 10 月 21 日前辦竣休、退學者，退還學雜各費三分之二。
* 113 年 12 月 02 日前辦竣休、退學者，退還學雜各費三分之一。
* 113 年 12 月 03 日起辦理休退學者，不予退費。

承辦單位：出納組，分機 11310、11313、11314。
"
申請保留學籍，請問有哪些申請資格？,"1. 因重病需長期療養，持有區域醫院或醫學中心開具之診斷證明書。 
2. 陸生、僑生或外國學生因故不能按時來校報到者。 
3. 因應徵召服兵役者，應檢具服役證明文件，申請延長保留學籍至服義務役期滿。 
4. 因懷孕、生產或撫育三歲以下子女，得於註冊開始前，持證明文件向學校申請保留入學資格。 
5. 參加「青年教育與就業儲蓄帳戶方案」之高級中等學校畢業生考取本校後入學者。

承辦單位：教務處綜合業務組，分機 11111～11122。
"
申請保留學籍，請問申請時間和申辦資料是什麼？,"113 年 8 月 29 日(上班日)以前 親自至綜合業務組辦理，逾期不予受理。 申辦資料： 

1. 保留學籍申請暨程序單(現場填寫)。 
2. 畢業證書或同等學力證明書及身分證影本 1 份。 
3. 區域醫院或醫學中心開具之診斷證明書正本(請註明需六週以上長期療養)。 
4. 一個掛號回郵信封(貼足 28 元郵資)。

承辦單位：教務處綜合業務組，分機 11111～11122。
"
我要申請休學，請問有哪些注意事項？,"1. 於開學前 113/9/6(五)完成辦理者，毋需繳交學雜費。 開學日起依規定收費。 
2. 學生團體保險（學生平安保險)
基於保障學生團體保險之權益，學生於休學期間仍有資格參加學生團體保險，建議繼續繳交學生團體保險費，否則視同放棄此權益，日後如發生意外事故則無法申請保險理賠。休學學生欲參加學生團體保險者，請於每學期開學日起 3 週內，至本校出納組繳交保險費，逾期將不受理。

承辦單位：學務處生活輔導組，分機 11214。
"
大一英文分級測驗是什麼？,大一英文分級測驗是靜宜大學針對大一新生施行的線上測驗，用以評估學生的英語能力，並將學生分為不同程度的班級上課。
大一英文分級測驗的時間是什麼時候？,113學年度大一英文分級測驗將於 113 年 8 月 26 日至 8 月 27 日舉行。
大一英文分級測驗的測驗方式是什麼？,大一英文分級測驗為線上測驗，共分聽力和閱讀兩部分，各佔 50%。
我沒有參加大一英文分級測驗怎麼辦？,沒有參加大一英文分級測驗的學生，將無法分班上課，需於開學後向外語教學中心申請補考。
大一英文課程如何修課？,大一英文課程為每週兩小時的大一英文課程及自主學習，課程地點、時段請上 e 校園服務網查詢課表。
大一英文課程如何分班？,大一英文課程依「大一英文分級測驗」結果分級分班上課，不得提出降級修習要求。
大一英文課程的成績如何計算？,"大一英文課程的學期總成績配分方式如下

出席、小考、作業等30%
期中報告30%
期末考30%
課外學習活動參與10%
"
大一英文課程有哪些課外學習活動？,"大一英文各組別學生每學期必須參加以下課外學習活動：

TA 課業輔導 3 次/學期 (3 分/3 次)
英語角 3 次/學期 (3 分/3 次)
國際文化村 1 次/學期 (2 分/1 次)
國際化教育系列講座 1 次/學期(2 分/1 次)
語言學習競賽依當學期公告為主每班至少推派 2-4 人(組)參加
"
我是體優生，可以修習一般大一英文課程嗎？,體優生若欲修習一般大一英文課程，仍須參加英文分級測驗始取得修課資格。
靜宜大學有哪些英語能力檢定獎勵辦法？,靜宜大學為鼓勵學生參加英語能力檢定，訂有「外語能力檢定獎勵與補助辦法」，請至本校「外語教學中心」網頁查看及下載。
靜宜大學的英文畢業門檻是什麼？,靜宜大學校訂英文能力畢業條件為多益測驗 550 分或全民英檢中級初試通過。
我要如何查詢英文畢業門檻配套措施的相關資訊？,"請至靜宜大學外語教學中心網頁查看及下載「靜宜大學校訂英文能力畢業條件配套措施實施要點」。

承辦單位：外語教學中心，分機：19231~19234。
"
入學前修習了「全國大學先修課程平台、ewant:SOS、全國夏季學院…」等課程，可以申請學分抵免嗎？,可以。大一新生在入學前修習的「全國大學先修課程平台、ewant:SOS、全國夏季學院…」等課程，如果符合規定，可以申請學分抵免。
學分抵免申請資格？,"1. 大一新生於入學前修習「全國大學先修課程平台、ewant:SOS、全國夏季學院…
等」者。
2. 重考入學者。
3. 五專生(專四、專五修習及格之課程)皆可提出申請。

承辦單位：教務處綜合業務組，分機 11111～11122。
"
學分抵免的申請時間是什麼時候？,"2024 年 8 月 1 日至 2024 年 8 月 29 日。

承辦單位：教務處綜合業務組，分機 11111～11122。
"
申請學分抵免需要準備哪些資料？,"原就讀學校之成績單正本二份（一份繳交至各學系辦公室，一份送綜合業務組）。

承辦單位：教務處綜合業務組，分機 11111～11122。
"
如何申請學分抵免？,"1. 至 e 校園服務網登入校園帳號密碼。 
2. 於網頁右上方搜尋框內輸入「抵免」，按下搜尋按鈕。 
3. 點選「抵免科目申請」。

承辦單位：教務處綜合業務組，分機 11111～11122。
"
申請學分抵免後，如果通過審核，是否可以重複修習該課程？,"不可以。申請學分抵免後，如果通過審核，請勿重複修習該抵免課程。如果個人課表已有該課程，請自行退選。

承辦單位：教務處綜合業務組，分機 11111～11122。
"
申請學分抵免的相關辦法及細則可以到哪裡查詢？,"綜合業務組網頁 -> 抵免 -> 學系學分抵免細則

承辦單位：教務處綜合業務組，分機 11111～11122。
"
非英文系新生如何申請免修英文課程？,"非英文系新生可於即日起至開學日 17:00 前，向外語教學中心申請免修英文課程。申請時需備妥免修英文申請書及相關證明文件。詳細說明請參閱「靜宜大學非英文系學生免修校訂大一『英文』課程作業要點」。

承辦單位：外語教學中心，分機 19232。
"
英文系新生如何申請免修語文課程？,"英文系新生可於開學前一週於系辦申請免修語文課程。申請時需備妥免修英文申請書及相關證明文件。詳細說明請參閱「靜宜大學英國語文學系甄試免修語文課程作業要點」。

承辦單位：英文系，分機 12026。
"
寰宇外語學士學位學程新生如何申請免修語文課程？,"寰宇外語學士學位學程新生可參閱「靜宜大學寰宇外語教育學士學位學程非師培生甄試免修語文課程作業要點」，申請免修非師培生免修語文課程。

承辦單位：寰宇外語學位學程，分機 19251。
"
西文系新生如何申請免修語文課程？,"西文系新生可參閱「靜宜大學西班牙語文學系甄試免修語文課程作業要點」，申請免修語文課程。

承辦單位：西文系 ，分機 12032。
"
日文系新生如何申請免修語文課程？,"日文系新生可參閱「靜宜大學日本語文學系甄試免修語文課程作業要點」，申請免修語文課程。

承辦單位：日文系 ，分機 12012。
"
非資訊學院新生如何申請免修「資訊應用概論」、「程式設計概論」課程？,"非資訊學院新生可於開學日 17:00 前向資訊學院辦公室 (主顧 602) 申請免修「資訊應用概論」、「程式設計概論」課程。如需考試，時間另行通知。

承辦單位：資訊學院 ，分機 18007。
"
閱讀書寫暨素養課程研發中心的宗旨為何？,"靜宜大學閱讀書寫暨素養課程研發中心的宗旨是致力於翻轉大學國語文傳統教學模式，提昇學生核心素養能力，從大學階段的「關鍵第一年」開始，打造學習階梯，透過多元化的參與式學習，引導學生探索自我生命歷程，養成閱讀理解、探究議題的核心素養，觸發未來職涯想像，培育具利他實踐精神及多元敘事力的青年。
"
閱讀與書寫課程的修課條件為何？,"閱讀與書寫課程為大一新生必修課程。
"
閱讀與書寫課程的教材為何？,"閱讀與書寫課程的教材為《與世界的孤獨同在》與《在世界的每一天》。
"
跨域與設計向度課程的修課條件為何？,"跨域與設計向度課程為大一新生通識課程。
"
跨域與設計向度課程有哪些？,"跨域與設計向度課程包括大學學習有方法、聆聽與溝通、時間管理、大學學習 PaPaGo 等課程。
"
閱讀與書寫課程有哪些自主學習深化活動？,"閱讀與書寫課程的自主學習深化活動包括生命史講座、閱讀理解工坊、未來領袖敘事力學生團隊培力、靜宜大學文學獎等。

承辦單位：閱讀書寫暨素養課程研發中心 ，分機 16106~16108。
"
什麼是設計思考與實踐課程？,設計思考與實踐課程是一門以議題為導向的通識必修課程，旨在培養學生的批判性思考、問題解決能力、多元思維、創新與創意能力。課程將結合設計思考的步驟與方法，引導學生在實作中進行學習與反思，鼓勵學生將個人經驗連結現實議題，探索現實問題與需求。
課程對象是誰？,課程對象為大一新生。
設計思考與實踐(跨域與設計)課程的課程安排如何？,課程為 1 學分、1 學期課程，屬通識必修。課程將依原班級分班，選課系統中已協助將當學期需上課之班級預選完畢。
哪些學生可以免修設計思考與實踐(跨域與設計)課程？,原服務學習課程及 109 學年度設計思考與實踐課程未通過者、提高編級生不須修習。
如何抵免設計思考與實踐(跨域與設計)課程？,欲進行抵免者，須符合「靜宜大學學生抵免學分辦法」第六條第一項規範，並請務必依「綜合業務組網頁 -> 熱門連結 -> 抵免 -> 作業時程，於規定時間上網申請並繳交成績證明正本，辦理抵免」，逾期不再受理。
113 學年度第 1 學期正式上課日期？,113 年 9 月 9 日
哪裡可以查詢課程資訊？,本校首頁「e 校園服務網」 -> 公眾項目 -> 點選「選課手冊暨課程綱要查詢」
什麼時候可以開始選課？,113 年 6 月 1 日起
哪裡可以查詢選課時間表？,本校首頁「e 校園服務網」 -> 公眾項目 -> 點選「選課手冊暨課程綱要查詢」 -> 右上角「選課時間表」
